VAMPYROTEUTHIS_Chun,_1903	ORDER:_VAMPYROMORPHA	/	/	FAMILY:_VAMPYROTHEUTHIDAE	/	VAMPYROTEUTHIS_Chun,_1903
STAUROTEUTHIS_Verrill,_1879	ORDER:_OCTOPODA	SUBORDER:_CIRRATA	SUPERFAMILY:_CIRROTEUTHOIDEA	FAMILY:_CIRROTEUTHIDAE	/	STAUROTEUTHIS_Verrill,_1879
OPISTHOTEUTHIS_Verrill,_1883	ORDER:_OCTOPODA	SUBORDER:_CIRRATA	SUPERFAMILY:_CIRROTEUTHOIDEA	FAMILY:_OPISTHOTEUTHIDAE	/	OPISTHOTEUTHIS_Verrill,_1883
TREMOCTOPUS_Delle_Chiaje,_1829	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_ARGONAUTOIDEA	FAMILY:_TREMOCTOPODIDAE	/	TREMOCTOPUS_Delle_Chiaje,_1829
OCTOPUS_Lamarck,_1798	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_OCTOPODOIDEA	FAMILY:_OCTOPODIDAE	SUBFAMILY:_OCTOPODINAE	OCTOPUS_Lamarck,_1798
ARGONAUTA_Linnaeus,_1758	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_ARGONAUTOIDEA	FAMILY:_ARGONAUTIDAE	/	ARGONAUTA_Linnaeus,_1758
HAPALOCHLAENA_Robson,_1929	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_OCTOPODOIDEA	FAMILY:_OCTOPODIDAE	SUBFAMILY:_OCTOPODINAE	HAPALOCHLAENA_Robson,_1929
BENTHOCTOPUS_Grimpe,_1921	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_OCTOPODOIDEA	FAMILY:_OCTOPODIDAE	SUBFAMILY:_BATHYPOLYPODINAE	BENTHOCTOPUS_Grimpe,_1921
ENTEROCTOPUS_Rochebrune_&_Mabille,_1889	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_OCTOPODOIDEA	FAMILY:_OCTOPODIDAE	SUBFAMILY:_OCTOPODINAE	ENTEROCTOPUS_Rochebrune_&_Mabille,_1889
VITRELEDONELLA_Joubin,_1918	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_OCTOPODOIDEA	FAMILY:_VITRELEDONELLIDAE	/	VITRELEDONELLA_Joubin,_1918
JAPETELLA_Hoyle,_1885	ORDER:_OCTOPODA	SUBORDER:_INCIRRATA	SUPERFAMILY:_BOLITAENOIDEA	FAMILY:_BOLITAENIDAE	/	JAPETELLA_Hoyle,_1885
